GID	GENE_NAME	TYPE	ASPGD_ID	DESCRIPTION	KEGG_ID	NCBI_ID
AN0024	AN0024	ORF|Uncharacterized	ASPL0000055331	Has domain(s) with predicted oxidoreductase activity, zinc ion binding activity and role in oxidation-reduction process	AN0024.2	2875794
AN0025	AN0025	ORF|Uncharacterized	ASPL0000058538	Ortholog of A. nidulans FGSC A4 : AN5400, AN9282, AN7063, AN7804/stcW, AN8757, A. fumigatus Af293 : Afu6g03020, Afu6g13790 and A. niger CBS 513.88 : An08g09190, An03g06480, An11g08030, An13g01810, An12g07380	AN0025.2	2875801
AN0026	AN0026	ORF|Uncharacterized	ASPL0000061715	Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding activity and role in regulation of transcription, DNA-templated, transcription, DNA-templated	AN0026.2	2875802
AN0027	AN0027	ORF|Uncharacterized	ASPL0000053377	Ortholog of A. nidulans FGSC A4 : AN12088, A. fumigatus Af293 : Afu2g09400, A. niger CBS 513.88 : An12g05000 and A. oryzae RIB40 : AO090011000294, AO090026000051, AO090011000747, AO090011000330	AN0027.2	2875803
AN0028	AN0028	ORF|Uncharacterized	ASPL0000056448	Has domain(s) with predicted hydrolase activity	AN0028.2	2875806
AN0029	AN0029	ORF|Uncharacterized	ASPL0000059623	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	AN0029.2	2875805
AN0030	AN0030	ORF|Uncharacterized	ASPL0000054801	Has domain(s) with predicted hydrolase activity	AN0030.2	2875807
AN0031	AN0031	ORF|Uncharacterized	ASPL0000057977	Protein of unknown function	AN0031.2	2875808
AN0032	AN0032	ORF|Uncharacterized	ASPL0000061104	Ortholog of A. nidulans FGSC A4 : AN2556, A. niger CBS 513.88 : An11g09050, A. oryzae RIB40 : AO090010000754 and Neosartorya fischeri NRRL 181 : NFIA_113020	AN0032.2	2875809
AN0033	AN0033	ORF|Uncharacterized	ASPL0000052846	Ortholog of A. nidulans FGSC A4 : AN10483, AN2809, AN2115, AN12460, A. fumigatus Af293 : Afu2g00940, Afu2g16560, Afu3g15340, Afu7g00460, Afu7g06360 and A. niger CBS 513.88 : An14g02830, An16g00830	AN0033.2	2875804
AN0034	AN0034	ORF|Uncharacterized	ASPL0000055883	Putative glycerone kinase with a predicted role in glycerol metabolism; transcript upregulated by growth in glycerol	AN0034.2	2875810
AN0035	AN0035	ORF|Uncharacterized	ASPL0000059083	Protein of unknown function	AN0035.2	2875812
AN0036	AN0036	ORF|Uncharacterized	ASPL0000062279	Has domain(s) with predicted oxidoreductase activity	AN0036.2	2875811
AN0038	atmA	ORF|Verified	ASPL0000056982	Putative 1-phosphatidylinositol-3-kinase; involved in DNA damage response; mutants display defects in cell polarity and in microtubule organization at the hyphal tip; mutants are camptothecin sensitive; reduced growth on AVICEL medium	AN0038.2	2875815
AN0039	AN0039	ORF|Uncharacterized	ASPL0000060165	Ortholog of S. cerevisiae : YNL011C, A. fumigatus Af293 : Afu5g12650, A. niger CBS 513.88 : An14g06550, A. oryzae RIB40 : AO090120000392 and Aspergillus wentii : Aspwe1_0131485	AN0039.2	2875813
AN0040	AN0040	ORF|Uncharacterized	ASPL0000055321	Ortholog(s) have 3'-5' exonuclease activity, DNA-directed DNA polymerase activity, role in mitochondrial DNA catabolic process, mitochondrial DNA replication, mitochondrial genome maintenance and mitochondrion localization	AN0040.2	2875816
AN0041	AN0041	ORF|Uncharacterized	ASPL0000058530	Protein of unknown function	AN0041.2	2875820
AN0042	AN0042	ORF|Uncharacterized	ASPL0000061685	Has domain(s) with predicted metal ion transmembrane transporter activity, role in metal ion transport, transmembrane transport and membrane localization	AN0042.2	2875821
AN0043	AN0043	ORF|Uncharacterized	ASPL0000053369	Has domain(s) with predicted transferase activity and role in biosynthetic process	AN0043.2	2875818
AN0044	AN0044	ORF|Uncharacterized	ASPL0000056426	Ortholog(s) have ubiquitin protein ligase activity, role in DNA repair, nucleotide-excision repair, postreplication repair, protein ubiquitination and site of double-strand break localization	AN0044.2	2875817
AN0045	AN0045	ORF|Uncharacterized	ASPL0000059607	Transcript induced by light in in developmentally competent mycelia	AN0045.2	2875819
AN0046	AN0046	ORF|Verified	ASPL0000062762	Putative histidyl-tRNA synthetase with a predicted role in tRNA aminoacylation; intracellular, menadione stress-induced protein; expression reduced after exposure to farnesol	AN0046.2	2875824
AN0048	AN0048	ORF|Uncharacterized	ASPL0000057596	Ortholog of A. fumigatus Af293 : Afu5g12560, A. niger CBS 513.88 : An14g06630, A. oryzae RIB40 : AO090120000382, Aspergillus wentii : Aspwe1_0026710 and Aspergillus sydowii : Aspsy1_0097984	AN0048.2	2875825
AN0049	AN0049	ORF|Uncharacterized	ASPL0000060737	Ortholog(s) have N-acetylglucosaminylphosphatidylinositol deacetylase activity	AN0049.2	2875823
AN0050	AN0050	ORF|Uncharacterized	ASPL0000055875	Putative picolinic acid decarboxylase with a predicted role in aromatic amino acid family biosynthesis	AN0050.2	2875828
AN0051	AN0051	ORF|Uncharacterized	ASPL0000059067	Putative dioxygenase	AN0051.2	2875827
AN0052	AN0052	ORF|Uncharacterized	ASPL0000062265	Has domain(s) with predicted oxidoreductase activity and role in metabolic process	AN0052.2	2875826
AN0053	AN0053	ORF|Uncharacterized	ASPL0000053868	Ortholog of A. fumigatus Af293 : Afu5g12500, A. oryzae RIB40 : AO090120000375, Aspergillus wentii : Aspwe1_0170789, Aspergillus sydowii : Aspsy1_0144467 and Aspergillus terreus NIH2624 : ATET_02022	AN0053.2	2875831
AN0054	AN0054	ORF|Uncharacterized	ASPL0000056964	Putative adenylate-forming enzyme	AN0054.2	2875833
AN0055	tmpA	ORF|Verified	ASPL0000060156	Transmembrane protein involved in regulation of conidium development; required for expression of brlA; predicted oxidoreductase with FAD-binding and haem-binding domains	AN0055.2	2875832
AN0056	AN0056	ORF|Verified	ASPL0000051993	Arrestin-like protein; involved in UapA ubiquitination, endocytosis and vacuolar turnover; HulA-dependent ubiquitination at Lys-343 is critical for function	AN0056.2	2875835
AN0057	AN0057	ORF|Uncharacterized	ASPL0000054952	Has domain(s) with predicted ATP binding, aminoacyl-tRNA ligase activity, tyrosine-tRNA ligase activity, role in tRNA aminoacylation for protein translation, tyrosyl-tRNA aminoacylation and cytoplasm localization	AN0057.2	2875830
AN0058	AN0058	ORF|Uncharacterized	ASPL0000058168	Has domain(s) with predicted catalytic activity and role in metabolic process	AN0058.2	2875834
AN0059	AN0059	ORF|Uncharacterized	ASPL0000061326	Ortholog(s) have role in spliceosomal complex disassembly and spliceosomal complex localization	AN0059.2	2875836
AN0061	AN0061	ORF|Uncharacterized	ASPL0000059593	Ortholog of S. cerevisiae : YLR326W, A. fumigatus Af293 : Afu5g12410, A. oryzae RIB40 : AO090120000361, Aspergillus wentii : Aspwe1_0026696 and Aspergillus sydowii : Aspsy1_0103462	AN0061.2	2875838
AN0062	AN0062	ORF|Uncharacterized	ASPL0000062742	Ortholog(s) have role in invasive growth in response to glucose limitation, protein urmylation, pseudohyphal growth, tRNA wobble position uridine thiolation and cytosolic tRNA wobble base thiouridylase complex localization	AN0062.2	2875839
AN0063	AN0063	ORF|Uncharacterized	ASPL0000054415	Has domain(s) with predicted integral component of membrane localization	AN0063.2	2875844
AN0064	AN0064	ORF|Uncharacterized	ASPL0000057575	Ortholog of A. fumigatus Af293 : Afu5g12380, A. niger CBS 513.88 : An14g06840, A. oryzae RIB40 : AO090120000356, Aspergillus wentii : Aspwe1_0447672 and Aspergillus sydowii : Aspsy1_0101454	AN0064.2	2875840
AN0065	AN0065	ORF|Uncharacterized	ASPL0000060719	Ortholog(s) have histone methyltransferase activity (H3-K4 specific) activity and role in histone H3-K4 methylation, histone H3-K79 methylation, mRNA 3'-end processing, snoRNA 3'-end processing, telomere maintenance	AN0065.2	2875841
AN0066	AN0066	ORF|Uncharacterized	ASPL0000052497	Ortholog(s) have isopropylmalate transmembrane transporter activity, malonate(1-) transmembrane transporter activity, oxaloacetate transmembrane transporter activity, sulfate transmembrane transporter activity	AN0066.2	2875843
AN0067	AN0067	ORF|Uncharacterized	ASPL0000055511	Putative ribonucleotide reductase small subunit; transcript upregulated in response to camptothecin	AN0067.2	2875837
AN0068	AN0068	ORF|Uncharacterized	ASPL0000058711	Has domain(s) with predicted 7S RNA binding activity, role in SRP-dependent cotranslational protein targeting to membrane, negative regulation of translational elongation and signal recognition particle localization	AN0068.2	2875842
AN0069	srgL	ORF|Uncharacterized	ASPL0000061877	Putative protein transport protein	AN0069.2	2875848
AN0070	uaW	ORF|Verified	ASPL0000056944	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase; involved in purine utilization; inducible by uric acid and repressible by ammonium; under the control of the UaY protein	AN0070.2	2875847
AN0071	AN0071	ORF|Uncharacterized	ASPL0000060130	Ortholog of A. fumigatus Af293 : Afu5g12320, A. niger CBS 513.88 : An01g02090, A. oryzae RIB40 : AO090120000349, Aspergillus wentii : Aspwe1_0026685 and Aspergillus sydowii : Aspsy1_0027598	AN0071.2	2875845
AN0072	AN0072	ORF|Uncharacterized	ASPL0000051985	Putative pseudouridine synthase with a predicted role in pyrimidine metabolism	AN0072.2	2875850
AN0073	AN0073	ORF|Uncharacterized	ASPL0000054940	Ortholog of A. fumigatus Af293 : Afu5g12302, A. niger CBS 513.88 : An01g02110, A. oryzae RIB40 : AO090120000347, Aspergillus wentii : Aspwe1_0170763 and Aspergillus sydowii : Aspsy1_0195064	AN0073.2	2875852
AN0074	AN0074	ORF|Uncharacterized	ASPL0000058158	Ortholog(s) have role in nuclear division, rRNA processing, ribosomal large subunit biogenesis and nuclear periphery, nucleolus, preribosome, large subunit precursor localization	AN0074.2	2875846
AN0075	tigA	ORF|Uncharacterized	ASPL0000061308	Putative protein disulfide isomerase	AN0075.2	2875855
AN0076	AN0076	ORF|Uncharacterized	ASPL0000053023	Ortholog(s) have role in cellular response to DNA damage stimulus, interspecies interaction between organisms and P-body, cytoplasmic stress granule, nuclear periphery, polysome localization	AN0076.2	2875851
AN0077	AN0077	ORF|Uncharacterized	ASPL0000056034	Has domain(s) with predicted 2-oxoglutarate-dependent dioxygenase activity and role in oxidation-reduction process	AN0077.2	2875857
AN0078	samB	ORF|Verified	ASPL0000059242	MYND zinc-finger protein; mutation causes polarity defects, abnormal hyphal branching and septation, abnormal germling morphology; mutation suppresses aconidial phenotype of apsA mutant; C-terminal zinc-fingers required for function	AN0078.2	2875849
AN0080	AN0080	ORF|Uncharacterized	ASPL0000057555	Putative aldolase with a predicted role in naphthalene degradation	AN0080.2	2875858
AN0081	sfaD	ORF|Verified	ASPL0000060687	Beta subunit of a heterotrimeric G protein composed of FadA, SfaD, GpgA and involved in regulation of proliferation and conidiophore development; mutant produces increased amounts of extracellular proteinase during carbon starvation	AN0081.2	2875859
AN0082	phnA	ORF|Verified	ASPL0000052467	Phosducin-like protein; positive regulator of G-beta (SfaD) and G-gamma (GpgA) activity; suppressor of flbA	AN0082.2	2875860
AN0083	taf30	ORF|Uncharacterized	ASPL0000055489	Transcription initiation factor subunit; protein expressed at decreased levels in a hapX mutant versus wild-type	AN0083.2	2875861
AN0084	AN0084	ORF|Uncharacterized	ASPL0000058693	Ortholog(s) have GTPase activator activity, Ran GTPase binding activity	AN0084.2	2875862
AN0085	AN0085	ORF|Uncharacterized	ASPL0000061849	Ortholog of A. fumigatus Af293 : Afu5g12170, A. niger CBS 513.88 : An18g02150, A. oryzae RIB40 : AO090120000334, Aspergillus wentii : Aspwe1_0026669 and Aspergillus sydowii : Aspsy1_0040526	AN0085.2	2875854
AN0086	AN0086	ORF|Uncharacterized	ASPL0000053532	Has domain(s) with predicted mannosyltransferase activity, role in protein glycosylation and membrane localization	AN0086.2	2875866
AN0087	AN0087	ORF|Uncharacterized	ASPL0000056601	Ortholog(s) have cytoplasm, plasma membrane localization	AN0087.2	2875865
AN0088	AN0088	ORF|Uncharacterized	ASPL0000059744	Has domain(s) with predicted integral component of membrane localization	AN0088.2	2875853
AN0089	rabS	ORF|Verified	ASPL0000062908	Putative small GTPase involved in endosomal maturation and vacuolar biogenesis	AN0089.2	2875868
AN0090	AN0090	ORF|Uncharacterized	ASPL0000058140	Ortholog of A. fumigatus Af293 : Afu5g12120, A. niger CBS 513.88 : An18g02220/atg16, Aspergillus wentii : Aspwe1_0170744, Aspergillus sydowii : Aspsy1_0040537 and Aspergillus terreus NIH2624 : ATET_02061	AN0090.2	2875870
AN0091	AN0091	ORF|Uncharacterized	ASPL0000061292	Ortholog(s) have histone methyltransferase activity (H3-K79 specific), nucleosomal histone binding activity	AN0091.2	2875863
AN0092	AN0092	ORF|Uncharacterized	ASPL0000053007	Putative methyltransferase with a predicted role in histidine metabolism	AN0092.2	2875871
AN0093	AN0093	ORF|Uncharacterized	ASPL0000056000	Ortholog of A. fumigatus Af293 : Afu5g12090, A. niger CBS 513.88 : An18g02240, A. oryzae RIB40 : AO090120000325, Aspergillus wentii : Aspwe1_0445637 and Aspergillus terreus NIH2624 : ATET_02066	AN0093.2	2875864
AN0094	AN0094	ORF|Uncharacterized	ASPL0000059218	Has domain(s) with predicted DNA binding, zinc ion binding activity, role in transcription, DNA-templated and nucleus localization	AN0094.2	2875867
AN0095	AN0095	ORF|Uncharacterized	ASPL0000062413	Has domain(s) with predicted calcium ion binding activity	AN0095.2	2875869
AN0096	AN0096	ORF|Uncharacterized	ASPL0000054038	Has domain(s) with predicted DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleic acid binding, zinc ion binding activity	AN0096.2	2875874
AN0097	AN0097	ORF|Uncharacterized	ASPL0000057134	Ortholog(s) have role in DNA recombination, double-strand break repair via nonhomologous end joining and DNA ligase IV complex, nuclear chromatin, nucleolus, nucleus localization	AN0097.2	2875873
AN0098	nirA	ORF|Verified	ASPL0000060327	Putative Gal4-type zinc finger protein that regulates expression of genes involved in nitrate assimilation	AN0098.2	2875872
AN0099	AN0099	ORF|Uncharacterized	ASPL0000052122	Protein of unknown function	AN0099.2	2875876
AN0100	AN0100	ORF|Uncharacterized	ASPL0000059778	Has domain(s) with predicted oxidoreductase activity, transferase activity, transferring acyl groups other than amino-acyl groups activity and role in oxidation-reduction process	AN0100.2	2875875
AN0101	AN0101	ORF|Uncharacterized	ASPL0000062942	Has domain(s) with predicted oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process	AN0101.2	2875877
AN0102	AN0102	ORF|Uncharacterized	ASPL0000054607	Has domain(s) with predicted catalytic activity, nitronate monooxygenase activity and role in oxidation-reduction process	AN0102.2	2875878
AN0103	AN0103	ORF|Uncharacterized	ASPL0000057773	Protein phosphatase	AN0103.2	2875881
AN0104	AN0104	ORF|Uncharacterized	ASPL0000060926	Ortholog(s) have role in protein N-linked glycosylation	AN0104.2	2875880
AN0105	AN0105	ORF|Uncharacterized	ASPL0000052694	Has domain(s) with predicted translation initiation factor activity and role in translational initiation	AN0105.2	2875884
AN0106	pkcA	ORF|Verified	ASPL0000055706	Protein kinase C; essential gene; required for wild-type level of growth, cell wall integrity and penicillin biosynthesis	AN0106.2	2875885
AN0107	AN0107	ORF|Uncharacterized	ASPL0000058907	Ortholog of Aspergillus versicolor : Aspve1_0157204, Aspergillus zonatus : Aspzo1_0055006, Aspergillus sydowii : Aspsy1_0195148 and Aspergillus aculeatus ATCC16872 : Aacu16872_016220	AN0107.2	2875882
AN0108	AN0108	ORF|Uncharacterized	ASPL0000062093	Ortholog of A. fumigatus Af293 : Afu5g11940, A. niger CBS 513.88 : An18g02440, Aspergillus wentii : Aspwe1_0131348 and Aspergillus sydowii : Aspsy1_0195151	AN0108.2	2875886
AN0109	AN0109	ORF|Uncharacterized	ASPL0000053720	Ortholog(s) have U1 snRNP localization	AN0109.2	2875883
AN0110	AN0110	ORF|Uncharacterized	ASPL0000060357	Ortholog(s) have proton-transporting ATPase activity, rotational mechanism activity, role in vacuolar acidification and vacuolar proton-transporting V-type ATPase complex localization	AN0110.2	2875888
AN0111	AN0111	ORF|Uncharacterized	ASPL0000052140	Ortholog(s) have Prp19 complex, post-mRNA release spliceosomal complex, spliceosomal complex localization	AN0111.2	2875887
AN0112	geaA	ORF|Verified	ASPL0000055146	Putative guanine nucleotide exchange factor for ADP ribosylation factors (ARFs)	AN0112.2	2875890
AN0113	bud3	ORF|Verified	ASPL0000058359	Putative Rho guanyl nucleotide exchange factor (Rho-GEF); required for septum formation	AN0113.2	2875891
AN0114	AN0114	ORF|Uncharacterized	ASPL0000061527	Ortholog of A. fumigatus Af293 : Afu5g11880, A. niger CBS 513.88 : An18g02520, A. oryzae RIB40 : AO090120000301, Aspergillus wentii : Aspwe1_0067489 and Aspergillus sydowii : Aspsy1_0085683	AN0114.2	2875879
AN0116	AN0116	ORF|Uncharacterized	ASPL0000056238	Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit, mitochondrial ribosome localization	AN0116.2	2875895
AN0117	AN0117	ORF|Uncharacterized	ASPL0000059425	Ortholog(s) have role in cellular response to oxidative stress	AN0117.2	2875889
AN0118	nudA	ORF|Verified	ASPL0000062573	Cytoplasmic dynein heavy chain, component of the microtubule motor protein involved in nuclear migration; locus contains the conserved upstream open reading frame (uORF) AN0118-uORF	AN0118.2	2875894
AN0118-uORF	AN0118-uORF	uORF|Uncharacterized	ASPL0000360868	Conserved upstream open reading frame (uORF) of AN0118/nudA; uORFs are capable of mediating translational repression of their downstream ORF		
AN0119	dclA	ORF|Uncharacterized	ASPL0000054215	Putative Dicer protein	AN0119.2	2875893
AN0120	tapA	ORF|Uncharacterized	ASPL0000060920	Putative SitA phosphatase inhibitor protein; involved in the TOR signaling pathway	AN0120.2	2875897
AN0121	hemC	ORF|Uncharacterized	ASPL0000052688	porphobilinogen deaminase; heme biosynthesis enzyme that facilitates growth in reactive nitrogen species conditions; transcriptionally induced by reactive nitrogen species	AN0121.2	2875892
AN0122	AN0122	ORF|Uncharacterized	ASPL0000055690	Has domain(s) with predicted ATP binding, ATP-dependent peptidase activity, nucleoside-triphosphatase activity, nucleotide binding, serine-type endopeptidase activity and role in proteolysis	AN0122.2	2875898
AN0123	AN0123	ORF|Uncharacterized	ASPL0000058899	Ortholog(s) have structural constituent of ribosome activity and mitochondrial large ribosomal subunit, mitochondrial ribosome localization	AN0123.2	2875901
AN0124	rio2	ORF|Uncharacterized	ASPL0000062079	Essential protein kinase;, role in maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); null mutants arrest as short germlings	AN0124.2	2875902
AN0126	AN0126	ORF|Uncharacterized	ASPL0000056766	Ortholog(s) have ATP binding, ATPase activity, DNA insertion or deletion binding, bubble DNA binding, dinucleotide insertion or deletion binding, double-stranded DNA binding and heteroduplex DNA loop binding, more	AN0126.2	2875899
AN0127	AN0127	ORF|Uncharacterized	ASPL0000059928	Ortholog(s) have phosphatidylinositol-3,5-bisphosphate binding, phosphatidylinositol-3-phosphate binding, phosphatidylinositol-4-phosphate binding, ubiquitin binding activity	AN0127.2	2875905
AN0128	AN0128	ORF|Uncharacterized	ASPL0000051825	Ortholog(s) have tRNA methyltransferase activity and role in tRNA methylation, wybutosine biosynthetic process	AN0128.2	2875904
AN0129	ppsA	ORF|Verified	ASPL0000054777	Putative dual-specificity protein tyrosine/serine/threonine phosphatase	AN0129.2	2875907
AN0130	AN0130	ORF|Uncharacterized	ASPL0000061525	Ortholog(s) have S-adenosylmethionine-dependent methyltransferase activity, transferase activity, transferring alkyl or aryl (other than methyl) groups activity and role in tRNA methylation, wybutosine biosynthetic process	AN0130.2	2875906
AN0131	AN0131	ORF|Uncharacterized	ASPL0000053216	Has domain(s) with predicted calcium ion binding activity	AN0131.2	2875900
AN0132	AN0132	ORF|Uncharacterized	ASPL0000056226	Ortholog of A. fumigatus Af293 : Afu5g11630, A. niger CBS 513.88 : An18g03110, A. oryzae RIB40 : AO090026000663, Aspergillus wentii : Aspwe1_0170695 and Aspergillus sydowii : Aspsy1_0195219	AN0132.2	2875909
AN0133	AN0133	ORF|Uncharacterized	ASPL0000059403	Putative mRNA splicing factor ATP-dependent RNA helicase; ortholog of S. cerevisiae Prp43p; expression reduced after exposure to farnesol	AN0133.2	2875910
AN0134	rmtC	ORF|Verified	ASPL0000062561	Histone arginine methyltransferase	AN0134.2	2875911
AN0135	AN0135	ORF|Uncharacterized	ASPL0000054191	Ortholog(s) have role in cellular protein localization, mitotic actomyosin contractile ring assembly and actomyosin contractile ring, polysome localization	AN0135.2	2875913
AN0136	AN0136	ORF|Uncharacterized	ASPL0000057352	Protein of unknown function	AN0136.2	2875912
AN0137	AN0137	ORF|Uncharacterized	ASPL0000060537	Ortholog(s) have glycerophosphocholine phosphodiesterase activity and role in cellular response to drug, glycerophospholipid catabolic process	AN0137.2	2875915
AN0138	AN0138	ORF|Uncharacterized	ASPL0000052286	Has domain(s) with predicted role in nucleotide-excision repair, regulation of transcription, DNA-templated and transcription factor TFIIH core complex localization	AN0138.2	2875918
AN0139	AN0139	ORF|Uncharacterized	ASPL0000055301	Putative asparaginase with a predicted role in asparagine metabolism	AN0139.2	2875916
AN0140	AN0140	ORF|Uncharacterized	ASPL0000062071	Protein with a predicted role in actin assembly; similar to Saccharomyces cerevisiae Arp3p	AN0140.2	2875914
AN0141	AN0141	ORF|Uncharacterized	ASPL0000053706	Ortholog(s) have double-stranded DNA 5'-3' exodeoxyribonuclease activity, single-stranded DNA endodeoxyribonuclease activity, tRNA (m5U54) methyltransferase activity and role in tRNA modification	AN0141.2	2875919
AN0142	AN0142	ORF|Uncharacterized	ASPL0000056760	Ortholog(s) have structural constituent of ribosome activity and mitochondrial ribosome, mitochondrial small ribosomal subunit localization	AN0142.2	2875908
AN0143	AN0143	ORF|Uncharacterized	ASPL0000059914	Has domain(s) with predicted role in attachment of spindle microtubules to kinetochore and DASH complex, mitotic spindle localization	AN0143.2	2875923
AN0144	nrc2	ORF|Uncharacterized	ASPL0000051811	Ribosomal S6 kinase (RSK); mutants have a moderate growth defect; reduced growth on AVICEL medium and reduced eglA and eglB expression	AN0144.2	2875921
AN0146	mdpC	ORF|Verified	ASPL0000057957	Protein with homology to versicolorin ketoreductase; member of the (mdp) monodictyphenone secondary metabolite biosynthesis gene cluster; required for monodictyphenone biosynthesis	AN0146.2	2875920
AN0147	mdpD	ORF|Verified	ASPL0000061096	Flavin-containing monooxygenase; member of the monodictyphenone secondary metabolite biosynthesis gene cluster; responsible for conversion of monodictyphenone to the prenyl xanthones, shamixanthone and epishamixanthone	AN0147.2	2875917
AN0148	mdpE	ORF|Verified	ASPL0000052838	C6 zinc finger transcription factor similar to AflR; member of the monodictyphenone secondary metabolite biosynthesis gene cluster; required for synthesis of monodictyphenone and related compounds but not prenyl xanthones	AN0148.2	2875927
AN0149	mdpF	ORF|Verified	ASPL0000055861	Putative zinc-dependent hydrolase; member of the monodictyphenone (mdp) secondary metabolite biosynthesis gene cluster	AN0149.2	2875922
AN0150	mdpG	ORF|Verified	ASPL0000062553	Polyketide synthase; member of the monodictyphenone secondary metabolite biosynthesis gene cluster; required for the synthesis of the xanthones (shamixanthone and epishamixanthone), emodin, arugosins, monodictyphenone, and related compounds	AN0150.2	2875928
AN0153	AN0153	ORF|Uncharacterized	ASPL0000060525	Putative MYB DNA binding protein	AN0153.2	2875929
AN0154	AN0154	ORF|Verified	ASPL0000052278	Subunit of the SAGA transcriptional regulatory complex	AN0154.2	2875930
AN0156	AN0156	ORF|Uncharacterized	ASPL0000058512	Ortholog(s) have inositol tetrakisphosphate 3-kinase activity, inositol tetrakisphosphate 6-kinase activity and inositol-1,3,4,5,6-pentakisphosphate kinase activity, more	AN0156.2	2875931
AN0157	AN0157	ORF|Uncharacterized	ASPL0000061673	Has domain(s) with predicted role in gene silencing by RNA and ARC complex localization	AN0157.2	2875936
AN0158	AN0158	ORF|Uncharacterized	ASPL0000053351	Ortholog(s) have 2-alkenal reductase [NAD(P)] activity, NADPH:quinone reductase activity, mRNA 3'-UTR AU-rich region binding activity and role in cellular response to oxidative stress	AN0158.2	2875933
