geneId	position	strand	description
B9J08_000064	scaffold00004:141179-141852	+	60S ribosomal protein L11-A
B9J08_000065	scaffold00004:143186-143872	+	hypothetical protein
B9J08_000066	scaffold00004:145195-146619	+	hypothetical protein
B9J08_000067	scaffold00004:146658-147701	-	hypothetical protein
B9J08_000068	scaffold00004:148328-149425	+	hypothetical protein
B9J08_000069	scaffold00004:149684-150181	+	hypothetical protein
B9J08_000070	scaffold00004:150251-152248	-	hypothetical protein
B9J08_000071	scaffold00004:154148-155080	-	sphingolipid long chain base-responsive protein PIL1
B9J08_000072	scaffold00004:157172-157801	+	hypothetical protein
B9J08_000073	scaffold00004:158256-158807	+	hypothetical protein
B9J08_000074	scaffold00004:159694-162030	+	hypothetical protein
B9J08_000075	scaffold00004:163002-164729	+	inosine-5'-monophosphate dehydrogenase
B9J08_000076	scaffold00004:164882-165412	+	hypothetical protein
B9J08_000077	scaffold00004:166102-167031	+	hypothetical protein
B9J08_000078	scaffold00004:167518-168867	+	hypothetical protein
B9J08_000079	scaffold00004:169257-169976	-	hypothetical protein
B9J08_000080	scaffold00004:172125-173726	+	hypothetical protein
B9J08_000081	scaffold00004:173852-176962	-	hypothetical protein
B9J08_000082	scaffold00004:179769-180416	+	GTP-binding nuclear protein GSP1/Ran
B9J08_000083	scaffold00004:180529-180888	-	hypothetical protein
B9J08_000084	scaffold00004:181481-182103	+	hypothetical protein
B9J08_000085	scaffold00004:182453-183631	+	hypothetical protein
B9J08_000086	scaffold00004:183669-184761	-	hypothetical protein
B9J08_000087	scaffold00004:185829-188018	+	hypothetical protein
B9J08_000088	scaffold00004:188352-188961	+	hypothetical protein
B9J08_000089	scaffold00004:189022-190035	-	hypothetical protein
B9J08_000090	scaffold00004:190868-191831	+	60S ribosomal protein L18-A
B9J08_000091	scaffold00004:192641-193308	+	40S ribosomal protein S19-A
B9J08_000092	scaffold00004:193405-205854	-	hypothetical protein
B9J08_000093	scaffold00004:206904-208496	+	hypothetical protein
B9J08_000094	scaffold00004:209389-212034	+	hypothetical protein
B9J08_000095	scaffold00004:212989-215589	+	hypothetical protein
B9J08_000096	scaffold00004:216534-219059	+	hypothetical protein
B9J08_000097	scaffold00004:219290-220492	+	hypothetical protein
B9J08_000098	scaffold00004:221456-222091	+	hypothetical protein
B9J08_000099	scaffold00004:222329-223240	+	hypothetical protein
B9J08_000100	scaffold00004:223553-224497	+	hypothetical protein
B9J08_000101	scaffold00004:224739-225509	+	hypothetical protein
B9J08_000102	scaffold00004:226483-228324	+	heat shock protein SSB1
B9J08_000103	scaffold00004:228453-229700	-	hypothetical protein
B9J08_000104	scaffold00004:229900-231201	+	hypothetical protein
B9J08_000105	scaffold00004:231250-233736	-	hypothetical protein
B9J08_000106	scaffold00004:234020-234859	+	hypothetical protein
B9J08_000107	scaffold00004:235621-235977	+	40S ribosomal protein S20
B9J08_000108	scaffold00004:237334-239034	+	hypothetical protein
B9J08_000109	scaffold00004:239189-242899	+	hypothetical protein
B9J08_000110	scaffold00004:242911-243732	-	hypothetical protein
B9J08_000111	scaffold00004:243835-246183	+	hypothetical protein
B9J08_000112	scaffold00004:246234-247226	-	hypothetical protein
B9J08_000113	scaffold00004:248519-248995	+	SUMO-conjugating enzyme UBC9
B9J08_000114	scaffold00004:249144-250511	-	hypothetical protein
B9J08_000115	scaffold00004:251470-253809	+	hypothetical protein
B9J08_000116	scaffold00004:253978-254832	-	hypothetical protein
B9J08_000117	scaffold00004:255532-256308	-	hypothetical protein
B9J08_000118	scaffold00004:257110-259038	-	hypothetical protein
B9J08_000119	scaffold00004:259499-259847	-	hypothetical protein
B9J08_000120	scaffold00004:261588-263912	+	hypothetical protein
B9J08_000121	scaffold00004:264315-265589	+	hypothetical protein
B9J08_000122	scaffold00004:266099-267769	+	hypothetical protein
B9J08_000123	scaffold00004:267997-270801	+	hypothetical protein
B9J08_000124	scaffold00004:270915-272894	-	hypothetical protein
B9J08_000125	scaffold00004:273182-273252	-	tRNA-Gly
B9J08_000126	scaffold00004:273264-273335	-	tRNA-Asp
B9J08_000127	scaffold00004:273665-275172	+	hypothetical protein
B9J08_000128	scaffold00004:275185-276198	-	hypothetical protein
B9J08_000129	scaffold00004:276341-276712	-	hypothetical protein
B9J08_000130	scaffold00004:277169-278608	+	hypothetical protein
B9J08_000131	scaffold00004:280953-284243	-	hypothetical protein
B9J08_000132	scaffold00004:284711-286084	-	mannan polymerase II complex ANP1 subunit
B9J08_000133	scaffold00004:287492-291001	+	hypothetical protein
B9J08_000134	scaffold00004:291052-292458	-	hypothetical protein
B9J08_000135	scaffold00004:293327-294148	+	hypothetical protein
B9J08_000136	scaffold00004:294374-294742	+	hypothetical protein
B9J08_000137	scaffold00004:294873-296048	-	hypothetical protein
B9J08_000138	scaffold00004:296360-297766	+	hypothetical protein
B9J08_000139	scaffold00004:298777-301254	+	hypothetical protein
B9J08_000140	scaffold00004:301794-302207	+	hypothetical protein
B9J08_000141	scaffold00004:302376-303929	-	protein phosphatase PP2A regulatory subunit B
B9J08_000142	scaffold00004:304770-305556	-	40S ribosomal protein S26-B
B9J08_000143	scaffold00004:306000-307531	+	hypothetical protein
B9J08_000144	scaffold00004:308530-309627	+	hypothetical protein
B9J08_000145	scaffold00004:310337-314131	+	hypothetical protein
B9J08_000146	scaffold00004:314393-315871	+	hypothetical protein
B9J08_000147	scaffold00004:316024-316614	-	hypothetical protein
B9J08_000148	scaffold00004:316851-319082	-	hypothetical protein
B9J08_000149	scaffold00004:319268-321532	-	hypothetical protein
B9J08_000150	scaffold00004:322213-323090	+	succinate dehydrogenase%2C cytochrome b556 subunit
B9J08_000151	scaffold00004:323976-325889	+	hypothetical protein
B9J08_000152	scaffold00004:326071-327399	-	hypothetical protein
B9J08_000153	scaffold00004:328030-328233	+	hypothetical protein
B9J08_000154	scaffold00004:328392-328757	-	hypothetical protein
B9J08_000155	scaffold00004:329231-329872	+	hypothetical protein
B9J08_000156	scaffold00004:329937-330278	-	hypothetical protein
B9J08_000157	scaffold00004:331065-331442	-	hypothetical protein
B9J08_000158	scaffold00004:334196-334756	-	hypothetical protein
B9J08_000159	scaffold00004:337575-340862	+	hypothetical protein
B9J08_000160	scaffold00004:341067-342719	-	hypothetical protein
B9J08_000161	scaffold00004:343039-345198	+	hypothetical protein
B9J08_000162	scaffold00004:345200-347110	-	hypothetical protein
B9J08_000163	scaffold00004:347500-348297	-	tRNA(His) guanylyltransferase
B9J08_000164	scaffold00004:348521-353047	-	multidrug resistance protein CDR1
B9J08_000165	scaffold00004:355148-355381	+	hypothetical protein
B9J08_000166	scaffold00004:355457-357613	-	hypothetical protein
B9J08_000167	scaffold00004:357700-357772	-	tRNA-Thr
B9J08_000168	scaffold00004:358400-360607	-	hypothetical protein
B9J08_000169	scaffold00004:362102-362479	+	hypothetical protein
B9J08_000170	scaffold00004:362551-363735	-	hypothetical protein
B9J08_000171	scaffold00004:364504-365706	-	serine/threonine-protein kinase BUR1
B9J08_000172	scaffold00004:365904-367580	-	hypothetical protein
B9J08_000173	scaffold00004:368593-369450	-	cytochrome c1%2C heme protein%2C mitochondrial
B9J08_000174	scaffold00004:370557-371753	-	hypothetical protein
B9J08_000175	scaffold00004:374499-378026	+	calcium-translocating P-type ATPase%2C PMCA-type
B9J08_000176	scaffold00004:378187-378936	-	hypothetical protein
B9J08_000177	scaffold00004:379436-380614	+	hypothetical protein
B9J08_000178	scaffold00004:380676-381065	-	oleate-induced peroxisomal protein POX18
B9J08_000179	scaffold00004:381951-382550	+	hypothetical protein
B9J08_000180	scaffold00004:382661-385849	-	hypothetical protein
B9J08_000181	scaffold00004:386634-395075	+	hypothetical protein
B9J08_000182	scaffold00004:395296-396276	+	hypothetical protein
B9J08_000183	scaffold00004:396482-398347	-	hypothetical protein
B9J08_000184	scaffold00004:399642-401465	+	hypothetical protein
B9J08_000185	scaffold00004:401675-402241	-	40S ribosomal protein S7-A
B9J08_000186	scaffold00004:403597-404313	+	ribose-5-phosphate isomerase
B9J08_000187	scaffold00004:404399-404973	-	hypothetical protein
B9J08_000188	scaffold00004:405610-407853	-	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43
B9J08_000189	scaffold00004:409905-411674	+	hypothetical protein
B9J08_000190	scaffold00004:411917-415731	+	hypothetical protein
B9J08_000191	scaffold00004:412194-412265	+	tRNA-Glu
B9J08_000192	scaffold00004:415864-419367	-	DNA-directed RNA polymerase I subunit RPA2
B9J08_000193	scaffold00004:420084-420746	+	hypothetical protein
B9J08_000194	scaffold00004:421235-422512	+	hypothetical protein
B9J08_000195	scaffold00004:422811-423923	+	hypothetical protein
B9J08_000196	scaffold00004:423949-426246	-	hypothetical protein
B9J08_000197	scaffold00004:427144-429447	-	hypothetical protein
B9J08_000198	scaffold00004:429765-430928	+	hypothetical protein
B9J08_000199	scaffold00004:431262-433454	+	hypothetical protein
B9J08_000200	scaffold00004:433582-436362	+	leucine-tRNA ligase
B9J08_000201	scaffold00004:436410-438608	-	hypothetical protein
B9J08_000202	scaffold00004:438820-440760	-	hypothetical protein
B9J08_000203	scaffold00004:441494-442395	+	40S ribosomal protein S9-A
B9J08_000204	scaffold00004:442736-444772	+	hypothetical protein
B9J08_000205	scaffold00004:445032-445940	+	hypothetical protein
B9J08_000206	scaffold00004:445986-448423	-	hypothetical protein
B9J08_000207	scaffold00004:449092-449721	+	hypothetical protein
B9J08_000208	scaffold00004:449772-450665	-	hypothetical protein
B9J08_000209	scaffold00004:451924-452247	+	60S acidic ribosomal protein P1-B
B9J08_000210	scaffold00004:454319-455140	+	hypothetical protein
B9J08_000211	scaffold00004:456495-457079	-	hypothetical protein
B9J08_000212	scaffold00004:459691-459762	+	tRNA-Thr
B9J08_000213	scaffold00004:460212-462686	+	hypothetical protein
B9J08_000214	scaffold00004:462777-465389	-	hypothetical protein
B9J08_000215	scaffold00004:465725-465943	+	DNA-directed RNA polymerase I%2C II%2C and III subunit RPABC5
B9J08_000216	scaffold00004:466293-467999	-	hypothetical protein
B9J08_000217	scaffold00004:468495-469625	-	ribosomal protein L27
B9J08_000218	scaffold00004:469964-470034	-	tRNA-Gly
B9J08_000219	scaffold00004:470047-470118	-	tRNA-Asp
B9J08_000220	scaffold00004:470980-472541	+	hypothetical protein
B9J08_000221	scaffold00004:474402-474884	+	hypothetical protein
B9J08_000222	scaffold00004:474911-476590	-	hypothetical protein
B9J08_000223	scaffold00004:477936-479171	-	GTP-binding protein YchF
B9J08_000224	scaffold00004:479317-480063	-	hypothetical protein
B9J08_000225	scaffold00004:480383-481171	+	hypothetical protein
B9J08_000226	scaffold00004:481651-483125	+	hypothetical protein
B9J08_000227	scaffold00004:483242-483673	+	hypothetical protein
B9J08_000228	scaffold00004:484646-488590	+	hypothetical protein
B9J08_000229	scaffold00004:488682-489788	-	3-isopropylmalate dehydrogenase
B9J08_000230	scaffold00004:490061-491464	-	cysteine desulfurase%2C mitochondrial
B9J08_000231	scaffold00004:491903-492788	-	hypothetical protein
B9J08_000232	scaffold00004:492953-494095	-	hypothetical protein
B9J08_000233	scaffold00004:494451-495251	-	hypothetical protein
B9J08_000234	scaffold00004:497039-499327	+	hypothetical protein
B9J08_000235	scaffold00004:501207-502193	-	hypothetical protein
B9J08_000236	scaffold00004:502483-503499	-	hypothetical protein
B9J08_000237	scaffold00004:503830-505530	-	hypothetical protein
B9J08_000238	scaffold00004:506373-506831	+	hypothetical protein
B9J08_000239	scaffold00004:507389-508018	+	hypothetical protein
B9J08_000240	scaffold00004:508079-509242	-	hypothetical protein
B9J08_000241	scaffold00004:509526-511136	+	hypothetical protein
B9J08_000242	scaffold00004:511155-512455	-	hypothetical protein
B9J08_000243	scaffold00004:512612-513253	-	hypothetical protein
B9J08_000244	scaffold00004:514945-516810	+	hypothetical protein
B9J08_000245	scaffold00004:516856-518910	-	hypothetical protein
B9J08_000246	scaffold00004:519054-521000	-	hypothetical protein
B9J08_000247	scaffold00004:521405-522197	-	hypothetical protein
B9J08_000248	scaffold00004:522317-523705	+	hypothetical protein
B9J08_000249	scaffold00004:523880-525190	+	hypothetical protein
B9J08_000250	scaffold00004:525772-527256	+	hypothetical protein
B9J08_000251	scaffold00004:527420-528808	+	hypothetical protein
B9J08_000252	scaffold00004:529031-529957	+	hypothetical protein
B9J08_000253	scaffold00004:530802-532178	+	hypothetical protein
B9J08_000254	scaffold00004:532264-532932	-	40S ribosomal protein S17-B
B9J08_000255	scaffold00004:534045-535370	+	transcriptional adapter 2
B9J08_000256	scaffold00004:535557-536405	+	hypothetical protein
B9J08_000257	scaffold00004:536460-537740	-	hypothetical protein
B9J08_000258	scaffold00004:538985-539506	-	hypothetical protein
B9J08_000259	scaffold00004:540183-540749	+	hypothetical protein
B9J08_000260	scaffold00004:540989-543133	+	hypothetical protein
B9J08_000261	scaffold00004:543665-545149	+	hypothetical protein
B9J08_000262	scaffold00004:545741-546976	+	calcium/proton exchanger
B9J08_000263	scaffold00004:548052-548915	+	hypothetical protein
B9J08_000264	scaffold00004:549117-550781	-	T-complex protein 1 subunit alpha
B9J08_000265	scaffold00004:551323-551439	-	5s_rRNA
B9J08_000266	scaffold00004:552960-553934	+	hypothetical protein
B9J08_000267	scaffold00004:554317-555501	+	hypothetical protein
B9J08_000268	scaffold00004:555937-556629	+	hypothetical protein
B9J08_000269	scaffold00004:557799-558374	-	cell division control protein 42
B9J08_000270	scaffold00004:559186-561039	-	hypothetical protein
B9J08_000271	scaffold00004:561960-562397	+	hypothetical protein
B9J08_000272	scaffold00004:562593-563167	-	clathrin-associated protein AP-3 complex component APS3
B9J08_000273	scaffold00004:563606-564967	+	kynureninase
B9J08_000274	scaffold00004:565051-566370	-	enolase 2
B9J08_000275	scaffold00004:568306-569199	+	hypothetical protein
B9J08_000276	scaffold00004:569246-571222	-	chaperone DnaK
B9J08_000277	scaffold00004:571663-573213	-	hypothetical protein
B9J08_000278	scaffold00004:573349-574239	+	hypothetical protein
B9J08_000279	scaffold00004:574288-574794	-	hypothetical protein
B9J08_000280	scaffold00004:575274-575723	+	hypothetical protein
B9J08_000281	scaffold00004:576099-577457	+	hypothetical protein
B9J08_000282	scaffold00004:577573-578751	+	hypothetical protein
B9J08_000283	scaffold00004:578826-579251	-	secondary thiamine-phosphate synthase enzyme
B9J08_000284	scaffold00004:579463-580857	-	hypothetical protein
B9J08_000285	scaffold00004:581225-582490	-	hypothetical protein
B9J08_000286	scaffold00004:583533-586631	+	hypothetical protein
B9J08_000287	scaffold00004:587883-588863	+	hypothetical protein
B9J08_000288	scaffold00004:588989-592321	-	hypothetical protein
B9J08_000289	scaffold00004:593098-596049	-	hypothetical protein
B9J08_000290	scaffold00004:596175-600551	-	hypothetical protein
B9J08_000291	scaffold00004:602101-604053	+	hypothetical protein
B9J08_000292	scaffold00004:604092-604733	-	hypothetical protein
B9J08_000293	scaffold00004:605211-605627	+	hypothetical protein
B9J08_000294	scaffold00004:606020-606451	-	hypothetical protein
B9J08_000295	scaffold00004:606925-607272	+	hypothetical protein
B9J08_000296	scaffold00004:607284-609902	-	hypothetical protein
B9J08_000297	scaffold00004:610024-610821	+	hypothetical protein
B9J08_000298	scaffold00004:610857-611498	-	hypothetical protein
B9J08_000299	scaffold00004:612225-613673	+	hypothetical protein
B9J08_000300	scaffold00004:613805-614884	+	hypothetical protein
B9J08_000301	scaffold00004:614943-616463	-	hypothetical protein
B9J08_000302	scaffold00004:617394-617768	+	hypothetical protein
B9J08_000303	scaffold00004:617830-619194	-	hypothetical protein
B9J08_000304	scaffold00004:619444-619516	+	tRNA-Arg
B9J08_000305	scaffold00004:619521-619593	+	tRNA-Phe
B9J08_000306	scaffold00004:619679-620866	-	hypothetical protein
B9J08_000307	scaffold00004:621977-623971	-	hypothetical protein
B9J08_000308	scaffold00004:624479-625699	-	hypothetical protein
B9J08_000309	scaffold00004:625798-627231	+	hypothetical protein
B9J08_000310	scaffold00004:627276-628427	-	hypothetical protein
B9J08_000311	scaffold00004:628945-629814	+	hypothetical protein
B9J08_000312	scaffold00004:629835-634055	-	hypothetical protein
B9J08_000313	scaffold00004:634822-635979	+	hypothetical protein
B9J08_000314	scaffold00004:636003-637878	-	hypothetical protein
B9J08_000315	scaffold00004:639593-641020	+	hypothetical protein
B9J08_000316	scaffold00004:641031-642538	-	hypothetical protein
B9J08_000317	scaffold00004:642877-644688	-	hypothetical protein
B9J08_000318	scaffold00004:645302-645389	-	tRNA-Lys
B9J08_000319	scaffold00004:647375-648433	-	adenosine deaminase
B9J08_000320	scaffold00004:649794-651197	+	D-3-phosphoglycerate dehydrogenase 1
B9J08_000321	scaffold00004:651349-653247	-	hypothetical protein
B9J08_000322	scaffold00004:654218-654559	-	hypothetical protein
B9J08_000323	scaffold00004:656031-658964	+	hypothetical protein
B9J08_000324	scaffold00004:659476-660927	+	hypothetical protein
B9J08_000325	scaffold00004:661786-664899	+	hypothetical protein
B9J08_000326	scaffold00004:664995-666596	+	protoporphyrinogen oxidase
B9J08_000327	scaffold00004:666616-666969	-	hypothetical protein
B9J08_000328	scaffold00004:667081-668274	-	peptide chain release factor 1
B9J08_000329	scaffold00004:668342-668659	+	hypothetical protein
B9J08_000330	scaffold00004:668705-670045	-	hypothetical protein
B9J08_000331	scaffold00004:670493-671770	+	hypothetical protein
B9J08_000332	scaffold00004:671801-674155	-	hypothetical protein
B9J08_000333	scaffold00004:674912-675517	-	hypothetical protein
B9J08_000334	scaffold00004:675778-676821	-	hypothetical protein
B9J08_000335	scaffold00004:678130-678909	+	hypothetical protein
B9J08_000336	scaffold00004:680096-685097	+	hypothetical protein
B9J08_000337	scaffold00004:686837-687484	+	hypothetical protein
B9J08_000338	scaffold00004:687831-691679	+	hypothetical protein
B9J08_000339	scaffold00004:691974-692423	+	hypothetical protein
B9J08_000340	scaffold00004:692598-695309	-	hypothetical protein
B9J08_000341	scaffold00004:698715-700235	+	hypothetical protein
B9J08_000342	scaffold00004:700457-701323	+	hypothetical protein
B9J08_000343	scaffold00004:702487-702990	+	hypothetical protein
B9J08_000344	scaffold00004:703126-703717	-	hypothetical protein
B9J08_000345	scaffold00004:703910-704566	-	hypothetical protein
B9J08_000346	scaffold00004:705490-705939	-	60S ribosomal protein L28
B9J08_000347	scaffold00004:706223-707689	-	hypothetical protein
B9J08_000348	scaffold00004:707817-709687	-	hypothetical protein
B9J08_000349	scaffold00004:710753-711628	-	hypothetical protein
B9J08_000350	scaffold00004:711887-712939	+	hypothetical protein
B9J08_000351	scaffold00004:713339-714475	+	methionine-tRNA ligase%2C beta subunit
B9J08_000352	scaffold00004:714784-715647	+	hypothetical protein
B9J08_000353	scaffold00004:716013-717176	+	mRNA surveillance protein pelota
B9J08_000354	scaffold00004:717995-718561	-	hypothetical protein
B9J08_000355	scaffold00004:719075-722317	+	hypothetical protein
B9J08_000356	scaffold00004:722361-723902	-	glutamate-tRNA ligase
B9J08_000357	scaffold00004:724571-724948	+	hypothetical protein
B9J08_000358	scaffold00004:726397-727350	+	hypothetical protein
B9J08_000359	scaffold00004:727725-728147	+	hypothetical protein
B9J08_000360	scaffold00004:728180-728992	-	hypothetical protein
B9J08_000361	scaffold00004:729342-729800	-	hypothetical protein
B9J08_000362	scaffold00004:731973-732644	+	DEHA2A12496p
B9J08_000363	scaffold00004:732794-733603	-	hypothetical protein
B9J08_000364	scaffold00004:736367-739714	+	hypothetical protein
B9J08_000365	scaffold00004:740132-741727	+	hypothetical protein
B9J08_000366	scaffold00004:741863-742240	+	hypothetical protein
B9J08_000367	scaffold00004:742437-743410	-	methylsterol monooxygenase
B9J08_000368	scaffold00004:747198-749141	+	hypothetical protein
B9J08_000369	scaffold00004:749470-749787	+	hypothetical protein
B9J08_000370	scaffold00004:752627-753466	+	D-arabinitol 2-dehydrogenase [ribulose-forming]
B9J08_000371	scaffold00004:754834-755823	-	GTP-binding protein GTR2
B9J08_000372	scaffold00004:756423-757804	-	hypothetical protein
B9J08_000373	scaffold00004:758279-759622	+	hypothetical protein
B9J08_000374	scaffold00004:759627-760886	-	hypothetical protein
B9J08_000375	scaffold00004:763240-763749	+	hypothetical protein
B9J08_000376	scaffold00004:763906-766299	-	hypothetical protein
B9J08_000377	scaffold00004:766966-767550	+	peptidyl-tRNA hydrolase
B9J08_000378	scaffold00004:767691-769298	-	hypothetical protein
B9J08_000379	scaffold00004:770103-771711	-	anthranilate synthase component I
B9J08_000380	scaffold00004:771884-774943	-	hypothetical protein
B9J08_000381	scaffold00004:775177-776289	-	hypothetical protein
B9J08_000382	scaffold00004:776725-779028	-	5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase
B9J08_000383	scaffold00004:779747-780856	-	hypothetical protein
B9J08_000384	scaffold00004:783568-785229	+	hypothetical protein
B9J08_000385	scaffold00004:785314-787149	-	hypothetical protein
B9J08_000386	scaffold00004:788231-788303	-	tRNA-Thr
B9J08_000387	scaffold00004:789097-789184	-	tRNA-Lys
B9J08_000388	scaffold00004:793313-795103	+	hypothetical protein
B9J08_000389	scaffold00004:795226-796056	-	hypothetical protein
B9J08_000390	scaffold00004:797651-798850	+	hypothetical protein
B9J08_000391	scaffold00004:798938-799531	-	hypothetical protein
B9J08_000392	scaffold00004:799822-801120	-	hypothetical protein
B9J08_000393	scaffold00004:801505-802245	-	hypothetical protein
B9J08_000394	scaffold00004:803433-803960	+	hypothetical protein
B9J08_000395	scaffold00004:804037-807342	-	hypothetical protein
B9J08_000396	scaffold00004:807547-810978	-	hypothetical protein
B9J08_000397	scaffold00004:812580-813266	+	hypothetical protein
B9J08_000398	scaffold00004:813321-815000	-	hypothetical protein
B9J08_000399	scaffold00004:816121-817920	+	hypothetical protein
B9J08_000400	scaffold00004:818058-819509	+	hypothetical protein
B9J08_000401	scaffold00004:819673-821286	-	hypothetical protein
B9J08_000402	scaffold00004:821341-822150	-	hypothetical protein
B9J08_000403	scaffold00004:823623-824369	-	hypothetical protein
B9J08_000404	scaffold00004:825227-826363	-	hypothetical protein
B9J08_000405	scaffold00004:826759-829191	+	hypothetical protein
B9J08_000406	scaffold00004:829304-830347	+	hypothetical protein
B9J08_000407	scaffold00004:830370-831092	-	hypothetical protein
B9J08_000408	scaffold00004:831221-835547	+	hypothetical protein
B9J08_000409	scaffold00004:835993-837828	+	methylenetetrahydrofolate reductase
B9J08_000410	scaffold00004:838105-838986	-	hypothetical protein
B9J08_000411	scaffold00004:839154-839834	-	hypothetical protein
B9J08_000412	scaffold00004:840337-841650	+	hypothetical protein
B9J08_000413	scaffold00004:841720-842043	-	hypothetical protein
B9J08_000414	scaffold00004:842281-845343	-	hypothetical protein
B9J08_000415	scaffold00004:846134-847891	-	hypothetical protein
B9J08_000416	scaffold00004:847990-848071	-	tRNA-Leu
B9J08_000417	scaffold00004:850668-853028	+	hypothetical protein
B9J08_000418	scaffold00004:853969-856056	+	hypothetical protein
B9J08_000419	scaffold00004:857338-859278	+	hypothetical protein
B9J08_000420	scaffold00004:859526-861088	-	hypothetical protein
B9J08_000421	scaffold00004:862079-863683	-	hypothetical protein
B9J08_000422	scaffold00004:864863-866224	-	hypothetical protein
B9J08_000423	scaffold00004:868037-869002	+	hypothetical protein
B9J08_000424	scaffold00004:877223-878008	+	cytochrome c heme lyase
B9J08_000425	scaffold00004:878343-880502	-	hypothetical protein
B9J08_000426	scaffold00004:883172-883245	+	tRNA-Val
B9J08_000427	scaffold00004:883305-884006	+	hypothetical protein
B9J08_000428	scaffold00004:884524-885783	+	tRNA pseudouridine(55) synthase
B9J08_000429	scaffold00004:886430-887545	+	hypothetical protein
B9J08_000430	scaffold00004:887933-888406	+	hypothetical protein
