trans_id	gene_id	locus	Prod_name	Pfam	KeggEC	GO	KeggPathways	sigP3	sigP4	TmHMM	TopKeggBlast
B9J08_000023T0	B9J08_000023	B9J08_000023	 name="aminopeptidase 2" 	PF11838.3|ERAP1_C[ERAP1-like C-terminal domain];PF13485.1|Peptidase_MA_2[Peptidase MA superfamily];PF01433.15|Peptidase_M1[Peptidase family M1]	EC:3.4.11.7[Glutamyl aminopeptidase.];EC:3.4.11.-[Aminopeptidases.]	EC:3.4.11;GO:0006508;GO:0008237;GO:0004177;GO:0005618;GO:0005829;GO:0008270;GO:0005576	.	.	.	.	.
B9J08_000024T0	B9J08_000024	B9J08_000024	 name="hypothetical protein" 	PF00581.15|Rhodanese[Rhodanese-like domain]	.	.	.	.	.	.	.
B9J08_000025T0	B9J08_000025	B9J08_000025	 name="hypothetical protein" 	PF00639.16|Rotamase[PPIC-type PPIASE domain];PF13145.1|Rotamase_2[PPIC-type PPIASE domain];PF13616.1|Rotamase_3[PPIC-type PPIASE domain]	EC:5.2.1.8[Peptidylprolyl isomerase.]	GO:0003755;GO:0036170;GO:0009267;GO:0035307;GO:0006369;GO:0000993;GO:0000122;GO:0000083;EC:5.2.1.8;GO:0031064;GO:0000413;GO:0036180;GO:0045899;GO:0042802;GO:2000749;GO:1901407;GO:0034605;GO:2000059;GO:0080182;GO:0000117;GO:0036168;GO:0009405	.	.	.	.	.
B9J08_000026T0	B9J08_000026	B9J08_000026	 name="hypothetical protein" 	PF00406.17|ADK[Adenylate kinase];PF13671.1|AAA_33[AAA domain];PF13238.1|AAA_18[AAA domain]	EC:2.7.4.-[Phosphotransferases with a phosphate group as acceptor.];EC:2.7.4.14[UMP/CMP kinase.]	GO:0005634;GO:0005524;EC:2.7.4.14;GO:0004017;GO:0005737;GO:0009041;GO:0006221;GO:0046939;GO:0006207;EC:2.7.4.3;GO:0004127	.	.	.	.	.
B9J08_000027T0	B9J08_000027	B9J08_000027	 name="hypothetical protein" 	PF08659.5|KR[KR domain];PF13561.1|adh_short_C2[Enoyl-(Acyl carrier protein) reductase];PF00106.20|adh_short[short chain dehydrogenase]	.	GO:0055114;GO:0016491	.	.	.	.	.
B9J08_000028T0	B9J08_000028	B9J08_000028	 name="hypothetical protein" 	PF00069.20|Pkinase[Protein kinase domain]	.	GO:0006397;GO:0005634;GO:0005524;GO:0006468;GO:0031251;GO:0046872;GO:0005829;GO:0004672;GO:0000289;GO:0090503;GO:0006301	.	.	.	.	.
B9J08_000029T0	B9J08_000029	B9J08_000029	 name="hypothetical protein" 	PF08613.6|Cyclin[Cyclin];PF00134.18|Cyclin_N[Cyclin, N-terminal domain]	.	GO:0044182	.	.	.	.	.
B9J08_000030T0	B9J08_000030	B9J08_000030	 name="hypothetical protein" 	.	.	.	.	.	.	TMH:1	.
B9J08_000031T0	B9J08_000031	B9J08_000031	 name="hypothetical protein" 	PF00956.13|NAP[Nucleosome assembly protein (NAP)]	.	GO:0005634;GO:0006334	.	.	.	.	.
B9J08_000032T0	B9J08_000032	B9J08_000032	 name="hypothetical protein" 	PF00005.22|ABC_tran[ABC transporter];PF06472.10|ABC_membrane_2[ABC transporter transmembrane region 2]	.	GO:0055085;GO:0005524;GO:0042626;GO:0015910;GO:0042758;GO:0005779;GO:0015916;GO:0006635;GO:0042760	.	.	.	TMH:4	.
B9J08_000033T0	B9J08_000033	B9J08_000033	 name="hypothetical protein" 	PF07690.11|MFS_1[Major Facilitator Superfamily]	.	GO:0055085;GO:0016021	.	.	.	TMH:12	.
B9J08_000034T0	B9J08_000034	B9J08_000034	 name="hypothetical protein" 	PF00153.22|Mito_carr[Mitochondrial carrier protein]	.	GO:0034659;GO:0034658;GO:1902356;GO:0000227;GO:1901239;GO:1902358;GO:0005743;GO:0016021;GO:0008271	.	.	.	TMH:3	.
B9J08_000035T0	B9J08_000035	B9J08_000035	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000036T0	B9J08_000036	B9J08_000036	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000037T0	B9J08_000037	B9J08_000037	 name="hypothetical protein" 	PF08367.6|M16C_assoc[Peptidase M16C associated];PF00675.15|Peptidase_M16[Insulinase (Peptidase family M16)];PF05193.16|Peptidase_M16_C[Peptidase M16 inactive domain]	.	EC:3.4.24;GO:0051603;GO:0004222;GO:0008270;GO:0005758	.	.	.	.	.
B9J08_000038T0	B9J08_000038	B9J08_000038	 name="ribosomal protein L33" 	TIGR01023[rpmG_bact: ribosomal protein L33]	.	GO:0005762;GO:0032543;GO:0003735	.	.	.	.	.
B9J08_000039T0	B9J08_000039	B9J08_000039	 name="hypothetical protein" 	PF01105.19|EMP24_GP25L[emp24/gp25L/p24 family/GOLD]	.	GO:0030134;GO:0005794;GO:0016021;GO:0006888;GO:0005789;GO:0005886	.	.	.	TMH:2	.
B9J08_000040T0	B9J08_000040	B9J08_000040	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000041T0	B9J08_000041	B9J08_000041	 name="hypothetical protein" 	PF08730.5|Rad33[Rad33]	.	.	.	.	.	.	.
B9J08_000042T0	B9J08_000042	B9J08_000042	 name="hypothetical protein" 	PF00291.20|PALP[Pyridoxal-phosphate dependent enzyme]	.	GO:0016829;GO:0006520;GO:0030170	.	.	.	.	.
B9J08_000043T0	B9J08_000043	B9J08_000043	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000044T0	B9J08_000044	B9J08_000044	 name="hypothetical protein" 	PF08123.8|DOT1[Histone methylation protein DOT1]	EC:2.1.1.43[Histone-lysine N-methyltransferase.]	GO:0031493;GO:0005634;GO:0000781;GO:0000725;GO:0070911;GO:0006348;GO:0044783;GO:0031573;GO:0051598;GO:0034729;GO:0031151;GO:0006301	.	.	.	.	.
B9J08_000045T0	B9J08_000045	B9J08_000045	 name="ISWI chromatin-remodeling complex ATPase ISW2" 	PF04851.10|ResIII[Type III restriction enzyme, res subunit];PF00271.26|Helicase_C[Helicase conserved C-terminal domain];PF09111.5|SLIDE[SLIDE];PF00270.24|DEAD[DEAD/DEAH box helicase];PF00176.18|SNF2_N[SNF2 family N-terminal domain];PF09110.6|HAND[HAND]	.	GO:0003677;GO:0035690;GO:0005524;GO:0001410;GO:0016589;GO:0030447;EC:3.6.1.3;GO:0071280;GO:0004386;GO:0031491;GO:0043044;GO:0016887	.	.	.	.	.
B9J08_000046T0	B9J08_000046	B9J08_000046	 name="uracil-DNA glycosylase" 	TIGR00628[ung: uracil-DNA glycosylase];PF03167.14|UDG[Uracil DNA glycosylase superfamily]	EC:3.2.2.27[Uracil-DNA glycosylase.]	GO:0005634;GO:0006284;GO:0004844;GO:0005739	ko05340[Primary immunodeficiency]	.	.	.	.
B9J08_000047T0	B9J08_000047	B9J08_000047	 name="hypothetical protein" 	PF04756.8|OST3_OST6[OST3 / OST6 family]	.	GO:0018279;GO:0004579;GO:0008250;GO:0016021;GO:0006461;EC:2.4.1.119	ko00513[Various types of N-glycan biosynthesis];ko04141[Protein processing in endoplasmic reticulum]	.	.	TMH:4	.
B9J08_000048T0	B9J08_000048	B9J08_000048	 name="hypothetical protein" 	PF03151.11|TPT[Triose-phosphate Transporter family];PF08449.6|UAA[UAA transporter family];PF00892.15|EamA[EamA-like transporter family]	.	GO:0000329;GO:0005794;GO:0016021	.	.	.	TMH:8	.
B9J08_000049T0	B9J08_000049	B9J08_000049	 name="hypothetical protein" 	PF10342.4|GPI-anchored[Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family];PF05390.6|KRE9[Yeast cell wall synthesis protein KRE9/KNH1]	.	GO:0036180;GO:0097237;GO:0042546;GO:0006078	.	.	.	.	.
B9J08_000050T0	B9J08_000050	B9J08_000050	 name="hypothetical protein" 	PF10342.4|GPI-anchored[Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family];PF05390.6|KRE9[Yeast cell wall synthesis protein KRE9/KNH1]	.	GO:0036180;GO:0097237;GO:0042546;GO:0006078	.	.	.	.	.
B9J08_000051T0	B9J08_000051	B9J08_000051	 name="mitochondrial genome maintenance protein MGM101" 	PF06420.7|Mgm101p[Mitochondrial genome maintenance MGM101]	.	GO:0005634;GO:0000262;GO:0035690;GO:0000725;GO:0000733;GO:0003690;GO:0003697;GO:0000002;GO:0036297	.	.	.	.	.
B9J08_000052T0	B9J08_000052	B9J08_000052	 name="hypothetical protein" 	.	.	GO:0071806;GO:0006886;GO:0005744;GO:0015450;GO:0016021	.	.	.	TMH:3	.
B9J08_000053T0	B9J08_000053	B9J08_000053	 name="hypothetical protein" 	PF02064.10|MAS20[MAS20 protein import receptor]	.	GO:0016031;GO:0030943;GO:0005742;GO:0070096;GO:0031307;GO:0030150	.	.	.	TMH:1	.
B9J08_000054T0	B9J08_000054	B9J08_000054	 name="hypothetical protein" 	PF00150.13|Cellulase[Cellulase (glycosyl hydrolase family 5)]	EC:3.2.1.58[Glucan 1,3-beta-glucosidase.]	GO:0009277;GO:0005975;GO:0004338;GO:0016021;GO:0046658;EC:3.2.1.58	.	.	.	TMH:2	.
B9J08_000055T0	B9J08_000055	B9J08_000055	 name="hypothetical protein" 	PF03447.11|NAD_binding_3[Homoserine dehydrogenase, NAD binding domain];PF00742.14|Homoserine_dh[Homoserine dehydrogenase];PF01118.19|Semialdhyde_dh[Semialdehyde dehydrogenase, NAD binding domain]	EC:1.1.1.3[Homoserine dehydrogenase.]	GO:0050661;EC:1.1.1.3;GO:0009090;GO:0009097;GO:0009088;GO:0055114;GO:0004412;GO:0009086	ko00270[Cysteine and methionine metabolism];ko00300[Lysine biosynthesis]	.	.	.	.
B9J08_000056T0	B9J08_000056	B9J08_000056	 name="hypothetical protein" 	PF12257.3|DUF3608[Protein of unknown function (DUF3608)];PF00610.16|DEP[Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)]	.	GO:2000785;GO:0097042;GO:1990130;GO:0043547;GO:0035556;GO:0005096	.	.	.	.	.
B9J08_000057T0	B9J08_000057	B9J08_000057	 name="pyridoxal 5'-phosphate synthase%2C glutaminase subunit Pdx2" 	PF01174.14|SNO[SNO glutamine amidotransferase family];TIGR03800[PLP_synth_Pdx2: pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2];PF07685.9|GATase_3[CobB/CobQ-like glutamine amidotransferase domain]	EC:2.6.-.-[Transferring nitrogenous groups.]	GO:0042823;GO:0004359;EC:3.5.1.2	.	.	.	.	.
B9J08_000058T0	B9J08_000058	B9J08_000058	 name="pyridoxine biosynthesis protein SNZ1" 	PF05690.9|ThiG[Thiazole biosynthesis protein ThiG];PF01680.12|SOR_SNZ[SOR/SNZ family];TIGR00343[TIGR00343: pyridoxal 5'-phosphate synthase, synthase subunit Pdx1]	EC:4.-.-.-[Lyases.]	GO:0042823;GO:0008615;GO:0005829;GO:0003824	.	.	.	.	.
B9J08_000059T0	B9J08_000059	B9J08_000059	 name="hypothetical protein" 	PF12827.2|Peroxin-22[Peroxisomal biogenesis protein family]	.	GO:0016020;GO:0005777	.	.	.	.	.
B9J08_000060T0	B9J08_000060	B9J08_000060	 name="hypothetical protein" 	PF00618.15|RasGEF_N[RasGEF N-terminal motif];PF00617.14|RasGEF[RasGEF domain]	.	GO:0007264;GO:0005622;GO:0043547;GO:0005085;GO:0016192;GO:0005933	.	.	.	.	.
B9J08_000061T0	B9J08_000061	B9J08_000061	 name="hypothetical protein" 	PF15341.1|SLX9[Ribosome biogenesis protein SLX9]	.	GO:0000462;GO:0030686;GO:0000056;GO:0030688	.	.	.	.	.
B9J08_000062T0	B9J08_000062	B9J08_000062	 name="hypothetical protein" 	PF00250.13|Fork_head[Fork head domain];PF00498.21|FHA[FHA domain]	.	GO:0010688;GO:0001226;GO:0032545;GO:0070491;GO:0006351;GO:0000790;GO:0060963;GO:0005730;GO:0001225;GO:0043565;GO:0003700	.	.	.	.	.
B9J08_000063T0	B9J08_000063	B9J08_000063	 name="proteasome subunit beta type-5" 	PF00227.21|Proteasome[Proteasome subunit]	EC:3.4.25.1[Proteasome endopeptidase complex.]	GO:0051603;GO:0004298;GO:0005829;GO:0005635;EC:3.4.25;GO:0005839	.	.	.	.	.
B9J08_000064T0	B9J08_000064	B9J08_000064	 name="60S ribosomal protein L11-A" 	PF00281.14|Ribosomal_L5[Ribosomal protein L5];PF00673.16|Ribosomal_L5_C[ribosomal L5P family C-terminus]	.	GO:0005840;GO:0006412;GO:0003735	.	.	.	.	.
B9J08_000065T0	B9J08_000065	B9J08_000065	 name="hypothetical protein" 	PF05700.6|BCAS2[Breast carcinoma amplified sequence 2 (BCAS2)]	.	GO:0006397	.	.	.	.	.
B9J08_000066T0	B9J08_000066	B9J08_000066	 name="hypothetical protein" 	PF00628.24|PHD[PHD-finger];PF13639.1|zf-RING_2[Ring finger domain]	.	.	.	.	.	.	.
B9J08_000067T0	B9J08_000067	B9J08_000067	 name="hypothetical protein" 	PF00241.15|Cofilin_ADF[Cofilin/tropomyosin-type actin-binding protein]	.	GO:0051015;GO:0044396;GO:0042989;GO:0005622;GO:0030042;GO:0003785;GO:0051014	.	.	.	.	.
B9J08_000068T0	B9J08_000068	B9J08_000068	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000069T0	B9J08_000069	B9J08_000069	 name="hypothetical protein" 	PF04430.9|DUF498[Protein of unknown function (DUF498/DUF598)]	.	.	.	.	.	.	.
B9J08_000070T0	B9J08_000070	B9J08_000070	 name="hypothetical protein" 	.	.	.	.	.	.	.	.
B9J08_000071T0	B9J08_000071	B9J08_000071	 name="sphingolipid long chain base-responsive protein PIL1" 	PF13805.1|Pil1[Eisosome component PIL1]	.	GO:0032126;GO:0070941	.	.	.	.	.
B9J08_000072T0	B9J08_000072	B9J08_000072	 name="hypothetical protein" 	PF04117.7|Mpv17_PMP22[Mpv17 / PMP22 family]	.	GO:0016021	.	.	.	.	.
B9J08_000073T0	B9J08_000073	B9J08_000073	 name="hypothetical protein" 	PF04117.7|Mpv17_PMP22[Mpv17 / PMP22 family]	.	GO:0006067;GO:0016021;GO:0005743	.	.	.	.	.
B9J08_000074T0	B9J08_000074	B9J08_000074	 name="hypothetical protein" 	PF01603.15|B56[Protein phosphatase 2A regulatory B subunit (B56 family)]	.	GO:0007165;GO:0005816;GO:0000780;GO:0050790;GO:0031107;GO:0005935;GO:0070199;GO:0031134;GO:0032186;GO:0031578;GO:0006470;GO:0051754;GO:0000776;GO:0000159	ko04113[Meiosis - yeast];ko04310[Wnt signaling pathway];ko04114[Oocyte meiosis]	.	.	.	.
B9J08_000075T0	B9J08_000075	B9J08_000075	 name="inosine-5'-monophosphate dehydrogenase" 	PF01070.13|FMN_dh[FMN-dependent dehydrogenase];PF00571.23|CBS[CBS domain];PF00478.20|IMPDH[IMP dehydrogenase / GMP reductase domain];TIGR01302[IMP_dehydrog: inosine-5'-monophosphate dehydrogenase];PF03060.10|NMO[Nitronate monooxygenase]	EC:1.1.1.205[IMP dehydrogenase.]	GO:0036180;GO:0036170;GO:0035690;GO:0009267;GO:0055114;EC:1.1.1.205;GO:0044416;GO:0046872;GO:0005829;GO:0000166;GO:0006177;GO:0003938	ko00983[Drug metabolism - other enzymes]	.	.	.	.
B9J08_000076T0	B9J08_000076	B9J08_000076	 name="hypothetical protein" 	PF00307.26|CH[Calponin homology (CH) domain]	.	GO:0051015;GO:0051286;GO:0005634;GO:0051764;GO:0032153;GO:0030479;GO:0000281;GO:0005829	.	.	.	.	.
B9J08_000077T0	B9J08_000077	B9J08_000077	 name="hypothetical protein" 	PF04874.9|Mak16[Mak16 protein C-terminal region];PF01778.12|Ribosomal_L28e[Ribosomal L28e protein family]	.	GO:0005730;GO:0000466;GO:0005829;GO:0000463;GO:0030687;GO:0003676	.	.	.	.	.
B9J08_000078T0	B9J08_000078	B9J08_000078	 name="hypothetical protein" 	PF04479.8|RTA1[RTA1 like protein]	.	GO:0046519;GO:0035690;GO:0045121;GO:0034204;GO:0006950;GO:0016021;GO:0005886	.	.	.	TMH:7	.
B9J08_000079T0	B9J08_000079	B9J08_000079	 name="hypothetical protein" 	.	.	GO:0003677	.	.	.	.	.
B9J08_000080T0	B9J08_000080	B9J08_000080	 name="hypothetical protein" 	PF01490.13|Aa_trans[Transmembrane amino acid transporter protein]	.	GO:0016021	.	.	.	TMH:11	.
B9J08_000081T0	B9J08_000081	B9J08_000081	 name="hypothetical protein" 	PF14259.1|RRM_6[RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)];PF00076.17|RRM_1[RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)]	.	GO:0010494;GO:0000166;GO:0003676	.	.	.	.	.
B9J08_000082T0	B9J08_000082	B9J08_000082	 name="GTP-binding nuclear protein GSP1/Ran" 	PF08477.8|Miro[Miro-like protein];PF00025.16|Arf[ADP-ribosylation factor family];PF00071.17|Ras[Ras family]	.	GO:0016973;GO:0005634;GO:0007264;GO:0005829;GO:0051276;GO:0005525;GO:0010972;GO:0003924	ko03013[RNA transport]	.	.	.	.
B9J08_000083T0	B9J08_000083	B9J08_000083	 name="hypothetical protein" 	.	.	GO:0005685;GO:0003729;GO:0071004;GO:0000395;GO:0030627;GO:0000243	.	.	.	.	.
B9J08_000084T0	B9J08_000084	B9J08_000084	 name="hypothetical protein" 	PF10775.4|ATP_sub_h[ATP synthase complex subunit h]	EC:3.6.3.14[H(+)-transporting two-sector ATPase.]	GO:0044769;GO:0019829;GO:0015078;GO:0007005	.	.	.	.	.
B9J08_000085T0	B9J08_000085	B9J08_000085	 name="hypothetical protein" 	PF11559.3|ADIP[Afadin- and alpha -actinin-Binding]	.	.	.	.	.	.	.
B9J08_000086T0	B9J08_000086	B9J08_000086	 name="hypothetical protein" 	.	.	GO:0016021	.	.	.	.	.
B9J08_000087T0	B9J08_000087	B9J08_000087	 name="hypothetical protein" 	PF00493.18|MCM[MCM2/3/5 family];PF07728.9|AAA_5[AAA domain (dynein-related subfamily)];PF14551.1|MCM_N[MCM N-terminal domain]	.	GO:0006343;GO:0003688;GO:0030174;GO:0000784;GO:0005524;GO:0032508;GO:0003697;GO:0031298;GO:0005656;GO:0005829;GO:0042555;GO:0003682;GO:0031939;GO:0000727;GO:0051097;GO:0006270;GO:0006348;GO:0031261;GO:0006267;GO:0051301;GO:0003678	ko04113[Meiosis - yeast];ko04111[Cell cycle - yeast];ko04110[Cell cycle]	.	.	.	.
B9J08_000088T0	B9J08_000088	B9J08_000088	 name="hypothetical protein" 	PF02996.12|Prefoldin[Prefoldin subunit]	.	GO:0006457;GO:0015631;GO:0016272;GO:0007021;GO:0005737;GO:0005844	.	.	.	.	.
B9J08_000089T0	B9J08_000089	B9J08_000089	 name="hypothetical protein" 	.	.	GO:0030447;GO:0016021;GO:0044695	.	.	.	TMH:5	.
B9J08_000090T0	B9J08_000090	B9J08_000090	 name="60S ribosomal protein L18-A" 	PF00828.14|Ribosomal_L18e[Ribosomal protein L18e/L15]	.	GO:0005840;GO:0006412;GO:0003735	.	.	.	.	.
B9J08_000091T0	B9J08_000091	B9J08_000091	 name="40S ribosomal protein S19-A" 	PF01090.14|Ribosomal_S19e[Ribosomal protein S19e]	.	GO:0000028;GO:0006412;GO:0003735;GO:0022627	.	.	.	.	.
B9J08_000092T0	B9J08_000092	B9J08_000092	 name="hypothetical protein" 	PF00004.24|AAA[ATPase family associated with various cellular activities (AAA)];PF03028.10|Dynein_heavy[Dynein heavy chain and region D6 of dynein motor];PF12777.2|MT[Microtubule-binding stalk of dynein motor];PF08385.7|DHC_N1[Dynein heavy chain, N-terminal region 1];PF08393.8|DHC_N2[Dynein heavy chain, N-terminal region 2];PF12774.2|AAA_6[Hydrolytic ATP binding site of dynein motor region D1];PF12775.2|AAA_7[P-loop containing dynein motor region D3];PF07728.9|AAA_5[AAA domain (dynein-related subfamily)];PF12781.2|AAA_9[ATP-binding dynein motor region D5];PF12780.2|AAA_8[P-loop containing dynein motor region D4]	.	.	ko04962[Vasopressin-regulated water reabsorption]	.	.	.	.
B9J08_000093T0	B9J08_000093	B9J08_000093	 name="hypothetical protein" 	PF13202.1|EF-hand_5[EF hand];PF13833.1|EF-hand_8[EF-hand domain pair];PF13499.1|EF-hand_7[EF-hand domain pair];PF00153.22|Mito_carr[Mitochondrial carrier protein];PF13405.1|EF-hand_6[EF-hand domain]	.	GO:0055085;GO:0005509;GO:0016021;GO:0005739	.	.	.	TMH:3	.
B9J08_000094T0	B9J08_000094	B9J08_000094	 name="hypothetical protein" 	PF02518.21|HATPase_c[Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase];PF08676.6|MutL_C[MutL C terminal dimerisation domain];PF13589.1|HATPase_c_3[Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase];PF01119.14|DNA_mis_repair[DNA mismatch repair protein, C-terminal domain]	.	GO:0032389;GO:0000710;GO:0005524;GO:0030983;EC:3.6.1.3;GO:0016887	.	.	.	.	.
B9J08_000095T0	B9J08_000095	B9J08_000095	 name="hypothetical protein" 	PF00172.13|Zn_clus[Fungal Zn(2)-Cys(6) binuclear cluster domain]	.	GO:0006357;GO:0000981;GO:0005634;GO:0008270	.	.	.	.	.
